altmetric_id,title,country,tiers
itmedia_inc,"ITmedia Inc.",JP,tier3
yahoo_news_japan,"Yahoo! News Japan",JP,tier2
3_news,"3 News",NZ,tier2
the_engineer,"The Engineer",GB,tier3
propublica,ProPublica,US,tier3
r_d,R&D,US,tier4
sinc_servicio_de_informacion_y_noticias_cientificas,"SINC - Servicio de Información y Noticias Científicas",ES,tier3
dr,DR,DK,tier2
disaster_news_network,"Disaster News Network",US,tier3
the_bay_citizen,"The Bay Citizen",US,tier2
center_for_investigative_reporting,"Reveal - Center for Investigative Reporting",US,tier3
die_welt,"Die Welt",DE,tier2
huffington_post,"Huffington Post",US,tier1
msn,MSN,US,tier1
focus_online,"FOCUS Online",DE,tier2
abc_es,ABC.es,ES,tier2
medlineplus,MedlinePlus,US,tier3
der_tagesspiegel,"Der Tagesspiegel",DE,tier2
stern,Stern,DE,tier2
venturebeat,VentureBeat,US,tier3
bulletin_of_the_atomic_scientists,"Bulletin of the Atomic Scientists",US,tier3
onearth,OnEarth,US,tier3
gulfnews_com,Gulfnews.com,AE,tier2
canadian_underwriter,"Canadian Underwriter",CA,tier3
the_republic,"The Republic",US,tier2
daily_press,"Daily Press",US,tier2
the_virginia_gazette,"The Virginia Gazette",US,tier2
tidewater_review,"Tidewater Review",US,tier2
the_morning_call,"The Morning Call",US,tier2
the_star_online,"The Star Online",MY,tier2
the_economic_times,"The Economic Times",IN,tier3
saudi_press_agency,"Saudi Press Agency",SA,tier2
climate_desk,"Climate Desk",US,tier3
the_earth_times,"The Earth Times",GB,tier4
the_colorado_independent,"The Colorado Independent",US,tier2
real_aspen,"Real Aspen",US,tier4
indian_country,"Indian Country",US,tier3
portland_press_herald,"Portland Press Herald",US,tier2
news10,News10,US,tier2
california_watch,"California Watch",US,tier4
het_laatste_nieuws,"Het Laatste Nieuws",BE,tier2
het_nieuwsblad,"Het Nieuwsblad",BE,tier2
gazet_van_antwerpen,"Gazet van Antwerpen",BE,tier2
het_belang_van_limburg,"Het Belang van Limburg",BE,tier2
de_standaard,"De Standaard",BE,tier2
le_soir,"Le Soir",BE,tier2
la_derniere_heure_la_dh,"La Derniere Heure (La DH)",BE,tier3
de_morgen,"De Morgen",BE,tier2
la_libre,"La Libre",BE,tier2
de_tijd,"De Tijd",BE,tier3
la_capitale,"La Capitale",BE,tier2
lecho,L'Echo,BE,tier2
nord_eclair,"Nord Eclair",BE,tier4
nieuwsblad,Nieuwsblad,BE,
grenzecho,Grenzecho,BE,tier2
la_province,"La Province",BE,tier4
real_vail,"Real Vail",US,tier4
concord_monitor,"Concord Monitor",US,tier2
firstpost,Firstpost,IN,tier2
drugs_com,Drugs.com,US,tier4
psychologie_news,"Psychologie News",DE,tier3
orf_at,ORF.at,AT,tier2
detroit_free_press,"Detroit Free Press",US,tier2
homeland_security_news_wire,"Homeland Security News Wire",US,tier3
cnbc,CNBC,US,tier2
biooptics_world,"BioOptics World",US,tier3
diagnostic_and_interventional_cardiology,"Diagnostic and Interventional Cardiology",US,tier3
gma_news,"GMA News",PH,tier2
calgary_herald,"Calgary Herald",CA,tier2
medical_breakthroughs_ivanhoe,"Medical Breakthroughs (Ivanhoe)",US,tier3
zimbabwe_star,"Zimbabwe Star",ZW,tier2
top_sante,"Top Santé",FR,tier3
electronic_products,"Electronic Products",US,tier3
headlines_global_news,"Headlines & Global News",US,tier4
biermann_medizin,"Biermann Medizin",DE,tier3
yahoo_news_india,"Yahoo! News India",IN,tier2
fanpage,Fanpage,IT,tier2
the_week_uk,"The Week UK",GB,tier2
ottawa_sun,"Ottawa Sun",CA,tier4
winnipeg_sun,"Winnipeg Sun",CA,tier4
calgary_sun,"Calgary Sun",CA,tier4
edmonton_sun,"Edmonton Sun",CA,tier4
publico,Publico,PT,tier2
diario_de_noticias,"Diário de Notícias",PT,tier2
o_acoriano_oriental,"O Açoriano Oriental",PT,tier2
destak,Destak,PT,tier2
expresso,Expresso,PT,tier2
sol,Sol,PT,tier2
a_cabra,"A Cabra",PT,tier4
diario_as_beiras,"Diário As Beiras",PT,tier2
the_chronicle_herald,"The Chronicle Herald",CA,tier2
winnipeg_free_press,"Winnipeg Free Press",CA,tier2
times_colonist,"Times Colonist",CA,tier2
london_free_press,"London Free Press",CA,tier4
the_windsor_star,"The Windsor Star",CA,tier2
the_star_phoenix,"The Star Phoenix",CA,tier2
leader_post,"Leader Post",CA,tier2
de_telegraaf,"De Telegraaf",NL,tier2
algemeen_dagblad_ad,"Algemeen Dagblad (AD)",NL,tier4
sp_ts,Sp!ts,NL,tier4
nrc_handelsblad,"NRC Handelsblad",NL,tier2
trouw,Trouw,NL,tier2
parool,Parool,NL,tier2
het_financieele_dagblad,"Het Financieele Dagblad",NL,tier3
nederlands_dagblad,"Nederlands Dagblad",NL,tier2
conservation_magazine,"Conservation Magazine",US,tier3
the_gulf_today,"The Gulf Today",AE,tier2
knoxville_news,"Knoxville News",US,tier2
the_sacramento_bee,"The Sacramento Bee",US,tier2
journal_and_courier,"Lafayette Journal and Courier",US,tier2
palo_alto_online,"Palo Alto Online",US,tier2
world_magazine,"World Magazine",US,tier3
coventry_telegraph,"Coventry Telegraph",GB,tier2
health24,Health24,ZA,tier4
the_new_york_observer,"The New York Observer",US,tier2
betabeat_new_york_observer,"Betabeat (New York Observer)",US,tier3
infobae,infobae,AR,tier2
asia_pacific_daily,"Asia Pacific Daily",CN,tier4
spie_newsroom,"SPIE Newsroom",US,tier3
24_horas,"24 Horas",MX,tier2
un1on_jalisco,"UN1ÓN | Jalisco",MX,tier2
veja,Veja,BR,tier2
focus_it,Focus.it,IT,tier2
correio_24_horas,"Correio 24 Horas",BR,tier2
diario_do_grande_abc,"Diário do Grande ABC",BR,tier2
